image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.70.png,9.876,29.180,28.619,29.322,29.419,28.670,28.834,29.846
noiseimage/[test02]_origin_0.70.png,9.648,26.783,26.507,26.920,26.971,26.543,26.737,27.737
noiseimage/[test03]_origin_0.70.png,9.666,26.885,26.498,27.059,27.119,26.547,26.726,27.736
noiseimage/[test04]_origin_0.70.png,9.646,27.180,27.094,27.331,27.347,27.229,27.380,28.203
noiseimage/[test05]_origin_0.70.png,9.917,26.183,26.003,26.352,26.483,26.024,26.142,26.753
noiseimage/[test06]_origin_0.70.png,9.899,23.531,23.219,23.675,23.715,23.217,23.362,24.060
noiseimage/[test07]_origin_0.70.png,9.685,26.623,26.069,26.709,26.744,26.099,26.270,27.289
noiseimage/[test08]_origin_0.70.png,9.483,29.428,29.308,29.619,29.715,29.331,29.508,30.502
noiseimage/[test09]_origin_0.70.png,9.901,23.325,23.186,23.478,23.505,23.216,23.342,23.941
noiseimage/[test10]_origin_0.70.png,9.430,20.603,20.457,20.701,20.738,20.468,20.615,21.172
noiseimage/[test11]_origin_0.70.png,10.196,30.058,29.642,30.229,30.365,29.757,29.899,30.833
noiseimage/[test12]_origin_0.70.png,9.492,23.387,22.759,23.535,23.567,22.786,22.943,23.769
noiseimage/[test13]_origin_0.70.png,9.725,27.113,26.997,27.282,27.374,27.035,27.188,27.904
noiseimage/[test14]_origin_0.70.png,10.294,27.247,26.741,27.354,27.383,26.718,26.888,27.995
noiseimage/[test15]_origin_0.70.png,9.815,21.574,21.240,21.699,21.732,21.241,21.404,22.080
noiseimage/[test16]_origin_0.70.png,10.356,25.571,25.398,25.716,25.791,25.444,25.541,25.997
noiseimage/[test17]_origin_0.70.png,10.341,26.810,26.151,26.954,27.005,26.234,26.439,27.664
noiseimage/[test18]_origin_0.70.png,9.811,31.254,30.631,31.413,31.486,30.679,30.842,31.983
noiseimage/[test19]_origin_0.70.png,9.260,23.808,23.165,23.994,24.029,23.196,23.388,24.393
noiseimage/[test20]_origin_0.70.png,9.806,26.179,25.405,26.294,26.331,25.458,25.665,26.806
noiseimage/[test21]_origin_0.70.png,9.945,26.567,25.942,26.750,26.816,26.021,26.164,27.001
noiseimage/[test22]_origin_0.70.png,9.800,23.833,23.306,24.005,24.022,23.330,23.479,24.285
noiseimage/[test23]_origin_0.70.png,9.424,28.710,28.686,28.811,28.866,28.780,28.929,29.726
noiseimage/[test24]_origin_0.70.png,9.859,24.973,24.612,25.145,25.174,24.641,24.804,25.664
noiseimage/[test25]_origin_0.70.png,9.105,30.665,30.829,30.794,30.889,30.827,30.906,31.389
noiseimage/[test26]_origin_0.70.png,9.266,20.293,19.808,20.416,20.448,19.843,20.004,20.662
noiseimage/[test27]_origin_0.70.png,9.365,25.924,24.954,26.099,26.135,24.993,25.214,26.558
noiseimage/[test28]_origin_0.70.png,9.453,21.514,21.603,21.697,21.741,21.636,21.767,22.251
noiseimage/[test29]_origin_0.70.png,9.997,28.458,28.419,28.567,28.645,28.415,28.549,29.261
noiseimage/[test30]_origin_0.70.png,9.983,23.519,22.540,23.696,23.711,22.562,22.787,23.945
noiseimage/[test31]_origin_0.70.png,10.320,26.092,25.595,26.253,26.328,25.678,25.804,26.605
noiseimage/[test32]_origin_0.70.png,9.334,24.532,24.225,24.685,24.721,24.247,24.419,25.182
noiseimage/[test33]_origin_0.70.png,8.862,28.487,28.684,28.671,28.674,28.848,28.979,29.802
noiseimage/[test34]_origin_0.70.png,9.532,24.095,23.973,24.231,24.284,24.004,24.171,24.901
noiseimage/[test35]_origin_0.70.png,8.791,29.283,29.190,29.387,29.416,29.300,29.528,30.875
noiseimage/[test36]_origin_0.70.png,10.053,28.275,28.020,28.443,28.544,28.086,28.247,29.165
noiseimage/[test37]_origin_0.70.png,10.278,28.855,28.602,28.955,29.015,28.671,28.841,29.753
noiseimage/[test38]_origin_0.70.png,9.984,33.339,32.839,33.485,33.516,33.068,33.340,35.265
noiseimage/[test39]_origin_0.70.png,9.417,24.339,23.844,24.456,24.470,23.847,24.026,24.948
noiseimage/[test40]_origin_0.70.png,9.525,22.796,22.748,22.942,22.983,22.815,22.952,23.554
noiseimage/[test41]_origin_0.70.png,9.481,28.253,27.843,28.387,28.405,27.853,28.040,29.110
noiseimage/[test42]_origin_0.70.png,9.729,23.962,24.475,24.036,24.069,24.533,24.583,24.537
noiseimage/[test43]_origin_0.70.png,9.695,24.127,24.109,24.231,24.295,24.117,24.247,24.826
noiseimage/[test44]_origin_0.70.png,8.972,28.888,28.359,29.060,29.166,28.403,28.642,30.053
noiseimage/[test45]_origin_0.70.png,10.043,27.154,26.756,27.332,27.445,26.799,26.985,27.933
noiseimage/[test46]_origin_0.70.png,8.924,18.710,19.222,18.786,18.829,19.236,19.326,19.549
noiseimage/[test47]_origin_0.70.png,9.391,20.858,20.614,21.016,21.048,20.639,20.803,21.524
noiseimage/[test48]_origin_0.70.png,9.765,23.760,23.410,23.959,24.019,23.434,23.613,24.397
noiseimage/[test49]_origin_0.70.png,9.693,29.045,29.207,29.122,29.233,29.244,29.378,30.056
noiseimage/[test50]_origin_0.70.png,10.432,30.810,30.916,30.906,31.169,30.902,30.991,31.560
noiseimage/[test51]_origin_0.70.png,10.293,30.904,30.839,31.028,31.224,30.829,30.946,31.752
noiseimage/[test52]_origin_0.70.png,9.922,34.176,34.218,34.304,34.602,34.182,34.333,35.327
