image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.10.png,32.612,40.701,38.464,41.165,41.425,38.805,39.352,40.739
noiseimage/[test01]_origin_0.20.png,27.773,37.027,34.772,37.480,37.542,34.994,35.369,36.968
noiseimage/[test01]_origin_0.30.png,22.562,35.662,33.202,36.012,36.102,33.426,33.778,35.475
noiseimage/[test01]_origin_0.40.png,19.069,33.509,31.439,33.783,33.834,31.579,31.834,33.441
noiseimage/[test01]_origin_0.50.png,14.886,32.230,30.266,32.519,32.572,30.392,30.618,32.157
noiseimage/[test01]_origin_0.60.png,12.158,30.851,29.491,31.018,31.068,29.583,29.782,31.099
noiseimage/[test01]_origin_0.70.png,9.876,29.180,28.619,29.322,29.419,28.670,28.834,29.846
noiseimage/[test01]_origin_0.80.png,7.939,27.276,27.630,27.337,27.396,27.670,27.764,28.214
noiseimage/[test01]_origin_0.90.png,6.487,24.892,25.959,24.892,24.944,26.008,26.036,25.906
noiseimage/[test02]_origin_0.10.png,29.726,37.604,36.039,38.001,38.331,36.308,36.814,37.584
noiseimage/[test02]_origin_0.20.png,26.541,34.802,32.963,35.161,35.413,33.225,33.663,34.869
noiseimage/[test02]_origin_0.30.png,21.955,33.038,31.299,33.415,33.640,31.548,31.927,33.160
noiseimage/[test02]_origin_0.40.png,18.171,31.467,29.648,31.804,31.958,29.783,30.092,31.521
noiseimage/[test02]_origin_0.50.png,14.815,29.782,28.181,30.046,30.137,28.264,28.531,29.960
noiseimage/[test02]_origin_0.60.png,11.780,28.320,27.378,28.513,28.557,27.431,27.662,28.949
noiseimage/[test02]_origin_0.70.png,9.648,26.783,26.507,26.920,26.971,26.543,26.737,27.737
noiseimage/[test02]_origin_0.80.png,7.784,25.065,25.433,25.144,25.189,25.467,25.589,26.213
noiseimage/[test02]_origin_0.90.png,6.327,22.156,23.370,22.118,22.143,23.398,23.433,23.259
noiseimage/[test03]_origin_0.10.png,29.610,37.583,35.844,37.921,38.291,36.090,36.657,37.455
noiseimage/[test03]_origin_0.20.png,26.307,34.756,32.895,35.138,35.359,33.128,33.552,34.813
noiseimage/[test03]_origin_0.30.png,22.581,32.799,31.013,33.166,33.367,31.209,31.565,32.862
noiseimage/[test03]_origin_0.40.png,18.606,30.884,29.290,31.142,31.238,29.392,29.681,31.027
noiseimage/[test03]_origin_0.50.png,14.739,29.771,28.422,30.055,30.137,28.502,28.764,30.176
noiseimage/[test03]_origin_0.60.png,11.889,28.420,27.414,28.614,28.686,27.463,27.693,28.950
noiseimage/[test03]_origin_0.70.png,9.666,26.885,26.498,27.059,27.119,26.547,26.726,27.736
